Business Partner;Number of Document with  Credit Block;Status Description
348767;137210377;In Proc - Past Due Items Needing Resolve
421680;137247119;New
421680;137247129;New
422124;137219516;In Proc - Pending Status from CSR / RS
422223;137241347;New
422343;137185268;In Proc - Past Due Items Needing Resolve
423965;137243898;In Proc - Exposure Reduction Needed
428376;157041156;New
682230;137211087;In Proc - Past Due Items Needing Resolve
682230;137211103;In Proc - Past Due Items Needing Resolve
682230;137221624;In Proc - Past Due Items Needing Resolve
682230;137225718;In Proc - Past Due Items Needing Resolve
682230;137236121;In Proc - Past Due Items Needing Resolve
683242;137244154;New
693960;137241690;New
749936;137247273;New
750070;137107891;In Proc - Past due and Above Exposure
750070;137107896;In Proc - Past due and Above Exposure
750070;137236249;In Proc - Past Due Items Needing Resolve
750070;137236261;In Proc - Past Due Items Needing Resolve
750070;137236266;In Proc - Past Due Items Needing Resolve
750070;137236267;In Proc - Past Due Items Needing Resolve
750070;137236268;In Proc - Past Due Items Needing Resolve
750070;137236275;In Proc - Past Due Items Needing Resolve
750070;137236280;In Proc - Past Due Items Needing Resolve
750070;137236289;In Proc - Past Due Items Needing Resolve
750070;137236292;In Proc - Past Due Items Needing Resolve
750070;137236293;In Proc - Past Due Items Needing Resolve
750070;137236295;In Proc - Past Due Items Needing Resolve
750070;137236300;In Proc - Past Due Items Needing Resolve
750070;137236425;In Proc - Past Due Items Needing Resolve
750070;137236439;In Proc - Past Due Items Needing Resolve
827369;137245794;New
827369;137246036;New
827369;137246038;New
827369;137246039;New
827369;137246046;New
827369;137247056;New
827371;137123224;In Proc - Past Due Items Needing Resolve
827371;137185005;In Proc - Past Due Items Needing Resolve
827371;137190187;In Proc - Past Due Items Needing Resolve
827371;137190295;In Proc - Past Due Items Needing Resolve
827371;137206818;In Proc - Past Due Items Needing Resolve
827371;137206821;In Proc - Past Due Items Needing Resolve
827371;137206943;In Proc - Past Due Items Needing Resolve
827371;137213315;In Proc - Past Due Items Needing Resolve
827371;137230494;In Proc - Past Due Items Needing Resolve
827371;137245685;New
827371;137245713;New
970900;137247070;New
970900;137247071;New
970900;137247076;New
970900;137247079;New
1108872;137072096;In Proc - Exposure Reduction Needed
1108872;137174242;In Proc - Exposure Reduction Needed
1108872;137174243;In Proc - Exposure Reduction Needed
1108872;137203064;In Proc - Exposure Reduction Needed
1108872;137204841;In Proc - Exposure Reduction Needed
1108872;137204842;In Proc - Exposure Reduction Needed
1108872;137204843;In Proc - Exposure Reduction Needed
1108872;137204844;In Proc - Exposure Reduction Needed
1108872;137228637;In Proc - Exposure Reduction Needed
1108872;137228638;In Proc - Exposure Reduction Needed
1108872;137228648;In Proc - Exposure Reduction Needed
1108872;137228651;In Proc - Exposure Reduction Needed
1108872;137228652;In Proc - Exposure Reduction Needed
1108872;137228653;In Proc - Exposure Reduction Needed
1108872;137228655;In Proc - Exposure Reduction Needed
1108872;137228656;In Proc - Exposure Reduction Needed
1108872;137228661;In Proc - Exposure Reduction Needed
1108872;137228662;In Proc - Exposure Reduction Needed
1108872;137228663;In Proc - Exposure Reduction Needed
1108872;137228664;In Proc - Exposure Reduction Needed
1108872;137228665;In Proc - Exposure Reduction Needed
1108872;137228668;In Proc - Exposure Reduction Needed
1108872;137228669;In Proc - Exposure Reduction Needed
1108872;137228670;In Proc - Exposure Reduction Needed
1108872;137228671;In Proc - Exposure Reduction Needed
1108872;137228672;In Proc - Exposure Reduction Needed
1108872;137245073;In Proc - Exposure Reduction Needed
1108872;137245102;In Proc - Exposure Reduction Needed
1140235;137245201;New
1148049;137205922;New
1148049;137232649;New
1148049;137243737;New
1159304;137244339;In Proc - Past due and Above Exposure
1159304;137244710;In Proc - Past due and Above Exposure
1220382;137236122;New
1220382;137245690;New
1245484;137220595;In Proc - Pending Status from CSR / RS
1245484;137243870;New
1358971;137150967;New
1358971;137159667;New
1358971;137165258;New
1358971;137165261;In Proc - Past due and Above Exposure
1358971;137165262;In Proc - Past due and Above Exposure
1358971;137165263;In Proc - Past due and Above Exposure
1358971;137176445;In Proc - Past due and Above Exposure
1358971;137176447;In Proc - Past due and Above Exposure
1358971;137176450;In Proc - Past due and Above Exposure
1358971;137176809;In Proc - Past due and Above Exposure
1358971;137191229;New
1358971;137191232;New
1358971;137205198;New
1358971;137205214;New
1358971;137245871;New
1362701;137245870;New
1374106;137242106;New
1432385;137203950;In Proc - Past due and Above Exposure
1432385;137206843;In Proc - Past due and Above Exposure
1432385;137233498;In Proc - Past due and Above Exposure
1432385;137233500;In Proc - Past due and Above Exposure
1432385;137233502;In Proc - Past due and Above Exposure
1432385;137233564;In Proc - Past due and Above Exposure
1432385;137233567;In Proc - Past due and Above Exposure
1432385;137233573;In Proc - Past due and Above Exposure
1432385;137233576;In Proc - Past due and Above Exposure
1432385;137233580;In Proc - Past due and Above Exposure
1432385;137233584;In Proc - Past due and Above Exposure
1432385;137233590;In Proc - Past due and Above Exposure
1432385;137233591;In Proc - Past due and Above Exposure
1432385;137233592;In Proc - Past due and Above Exposure
1432385;137233596;In Proc - Past due and Above Exposure
1432385;137233597;In Proc - Past due and Above Exposure
1432385;137233611;In Proc - Past due and Above Exposure
1432385;137236254;In Proc - Past due and Above Exposure
1432385;137236269;In Proc - Past due and Above Exposure
1432385;137236274;In Proc - Past due and Above Exposure
1432385;137242898;In Proc - Past due and Above Exposure
1432385;137244338;In Proc - Past due and Above Exposure
1432385;137247043;In Proc - Past due and Above Exposure
1432385;137247044;In Proc - Past due and Above Exposure
1488190;137233463;New
1488190;137247077;New
1519556;137125944;In Proc - Exposure Reduction Needed
1519556;137197769;In Proc - Past Due Items Needing Resolve
1519556;137207257;In Proc - Past Due Items Needing Resolve
1519556;137208596;In Proc - Past Due Items Needing Resolve
1519556;137224241;In Proc - Past Due Items Needing Resolve
1519556;137242462;In Proc - Exposure Reduction Needed
1601700;70451908;New
1831961;137241177;New
2346120;137225737;In Proc - Past due and Above Exposure
2346120;137225740;In Proc - Past due and Above Exposure
2346120;137225741;In Proc - Past due and Above Exposure
2346120;137225745;In Proc - Past due and Above Exposure
2346120;137225749;In Proc - Past due and Above Exposure
2347157;137246325;New
2347160;137246069;In Proc - Past Due Items Needing Resolve
2347964;137230490;In Proc - Past Due Items Needing Resolve
2400491;137084177;In Proc - Exposure Reduction Needed
2400491;137202472;New
2400491;137227658;New
2400491;137241208;New
2400491;137241215;New
2400491;137243733;New
2400491;137247120;New
10003425;136905734;In Proc - Other (See Notes)
10004381;137217026;In Proc - Past Due Items Needing Resolve
10004381;137226720;In Proc - Exposure Reduction Needed
10009027;137186347;New
10014914;137174340;In Proc - Past Due Items Needing Resolve
10014916;137174338;In Proc - Past Due Items Needing Resolve
10016715;137246646;New
10017153;137209856;New
10017153;137210364;New
10017153;137212451;New
10017153;137234362;New
10017153;137242461;New
10017153;137243734;New
10019704;137232212;In Proc - Exposure Reduction Needed
10027947;70451453;New
