Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858418871;10;137016674;LF;10015219;AGROALAS S.R.L;00097050308;PANZERGOLDLS BTLHPE20L ARG;C074;380,000;L;30/11/2021;421680;ACEITERA GENERAL DEHEZA SA;A131;30/11/2021
858455897;10;137057050;LF;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C079;25,000;KG;30/09/2021;970900;MC CAIN ARGENTINA SA;A131;29/09/2021
858506256;10;137113218;LF;1096463;SOMARUGA AGRO SA;00000098714;PRESIDE BTLHPE4X5L ARG;C072;20,000;L;30/08/2021;1096463;SOMARUGA AGRO SA;A131;30/08/2021
858551127;10;4230314592;ZLC;1358971;AGRONORTE CEREALES SRL;00099017485;RFG1RR R18 RR COR RCMQ BG80UK AR;C344;4;ZPB;23/08/2021;1358971;AGRONORTE CEREALES SRL;A131;16/07/2021
858564655;10;137168597;LF;788933;CAPELLA HECTOR CARLOS;00000360532;GALANT HL BTLCOX4X5L ARG;C074;10,000;L;21/09/2021;788933;CAPELLA HECTOR CARLOS;A131;21/09/2021
858574172;10;4230319027;ZLC;827375;RINDES Y CULTIVOS DAS S.A.;00097077571;DASH MSO MAX BTLHPE4X5L ARG;C077;560,000;L;30/09/2021;2002680;RINDES Y CULTIVOS DAS S.A.;A131;29/09/2021
858574172;20;4230319027;ZLC;827375;RINDES Y CULTIVOS DAS S.A.;00097077563;CLEARSOLIIPLUS CPKBAG2X(0.6+1.171)KG ARG;C077;150;UNT;30/09/2021;2002680;RINDES Y CULTIVOS DAS S.A.;A131;29/09/2021
858579233;10;4230318256;ZLC;811682;RIBOLDI SA;00097072863;NEXT 25.8PWU R18 COR CT CMQL BG80UK AR;C049;1;BAG;15/07/2021;811682;RIBOLDI SA;A131;15/07/2021
858593727;10;137186202;LF;1198307;AGROPECUARIA MISTOL ANCHO SA;00099074918;TOCONEXTRA BTLPET12X1L ARG;C074;30,000;L;25/09/2021;1939983;AGROPECUARIA MISTOL ANCHO SA;A131;24/09/2021
858593795;10;137193421;LF;1245484;MSU SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C074;100,000;L;08/07/2021;827374;DASER AGRO S.A.;A131;08/07/2021
858604405;10;137186340;LF;10009051;ANTONIO PRADO H;00097050308;PANZERGOLDLS BTLHPE20L ARG;C074;1.500,000;L;30/11/2021;10009051;ANTONIO PRADO H;A131;30/11/2021
