Sales Organization;Item (SD);Sales Document;Status;Status;Sales Document Type;Sold-to party;Name 1;Material;Description;Plant;Confirmed Quantity;Order Quantity;Unit of measure;Delivery Date;Ship-to party;Ship-To Name;Purchase order no.;Goods Issue Date
A131;10;137247257;Not delivered;A;ZKB;1245485;NUTRIENTES SA;00000250801;SYSTHANE40WP PCHALU10X0.48KG ARG;C078;24,000;24,000;KG;03/09/2021;1245485;NUTRIENTES SA;C0000006635 Z11;03/09/2021
A131;10;137247257;Not delivered;A;ZKB;1245485;NUTRIENTES SA;00000250801;SYSTHANE40WP PCHALU10X0.48KG ARG;C078;0,000;24,000;KG;02/09/2021;1245485;NUTRIENTES SA;C0000006635 Z11;03/09/2021
A131;10;137247120;Not delivered;A;ZOR;2400491;GRUPO ABS S.R.L.;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;6.000,000;6.000,000;L;21/09/2021;2400491;GRUPO ABS S.R.L.;C0000006633 Z01;17/09/2021
A131;10;137247104;Not delivered;A;ZOR;1159304;AGROIDEAS SA;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;350;350;ZPB;10/09/2021;10027676;AGROIDEAS SA;SIGO 3116 CAMBIO CAL;08/09/2021
A131;10;137247079;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;200,000;200,000;KG;03/09/2021;970900;MC CAIN ARGENTINA SA;C0000006629 Z05;03/09/2021
A131;10;137247079;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;0,000;200,000;KG;02/09/2021;970900;MC CAIN ARGENTINA SA;C0000006629 Z05;03/09/2021
A131;10;137247077;Not delivered;A;ZKB;1488190;ARECO SEMILLAS SA;00097070893;RFG22RRE C19 ERR COR CT RCMQ BG80UK AR;C049;0;20;ZPB;06/09/2021;1489365;ARECO SEMILLAS SA;0000004591 Z29;03/09/2021
A131;10;137247077;Not delivered;A;ZKB;1488190;ARECO SEMILLAS SA;00097070893;RFG22RRE C19 ERR COR CT RCMQ BG80UK AR;C049;20;20;ZPB;07/09/2021;1489365;ARECO SEMILLAS SA;0000004591 Z29;03/09/2021
A131;20;137247077;Not delivered;A;ZKB;1488190;ARECO SEMILLAS SA;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;200;200;ZPB;07/09/2021;1489365;ARECO SEMILLAS SA;0000004591 Z29;03/09/2021
A131;20;137247077;Not delivered;A;ZKB;1488190;ARECO SEMILLAS SA;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;0;200;ZPB;06/09/2021;1489365;ARECO SEMILLAS SA;0000004591 Z29;03/09/2021
A131;10;137247076;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;0,000;250,000;KG;02/09/2021;970900;MC CAIN ARGENTINA SA;C0000006630 Z05;03/09/2021
A131;10;137247076;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;250,000;250,000;KG;03/09/2021;970900;MC CAIN ARGENTINA SA;C0000006630 Z05;03/09/2021
A131;10;137247071;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;0,000;150,000;KG;02/09/2021;970900;MC CAIN ARGENTINA SA;C0000006628 Z05;03/09/2021
A131;10;137247071;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;150,000;150,000;KG;03/09/2021;970900;MC CAIN ARGENTINA SA;C0000006628 Z05;03/09/2021
A131;10;137247070;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;0,000;100,000;KG;02/09/2021;970900;MC CAIN ARGENTINA SA;C0000006627 Z05;03/09/2021
A131;10;137247070;Not delivered;A;ZOR;970900;MC CAIN ARGENTINA SA;00000283044;DITHANENT BAGHPE42X25KG ARG;C077;100,000;100,000;KG;03/09/2021;970900;MC CAIN ARGENTINA SA;C0000006627 Z05;03/09/2021
A131;10;137247056;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00099079300;507PWU C17 PWU COR RCMQ BG80UK AR;C344;200;200;ZPB;09/09/2021;10012736;TERRAMAR S.A;0000004590 FACTURADO;08/09/2021
A131;10;137247044;Not delivered;A;ZKB;1432385;SEMILLERIA BELTRAMO SA;00097027004;RFG22RR C19 RR COR RCMQ BG80UK AR;C049;200;200;ZPB;15/09/2021;1432385;SEMILLERIA BELTRAMO SA;0000004558 TRANSFERE;13/09/2021
A131;10;137247043;Not delivered;A;ZKB;1432385;SEMILLERIA BELTRAMO SA;00097027004;RFG22RR C19 RR COR RCMQ BG80UK AR;C049;300;300;ZPB;15/09/2021;1432385;SEMILLERIA BELTRAMO SA;0000004557 TRANSFERE;13/09/2021
A131;20;137247029;Not delivered;A;ZVER;1374106;COOPERATIVA TAMBERA LIMITADA;00097071064;510PWU R20 PWU COR FS CT CMQL BG80UK AR;C344;73,200;240;BAG;07/09/2021;1374106;COOPERATIVA TAMBERA LIMITADA;Fc Ant 0529A00004031;03/09/2021
A131;10;137247013;Not delivered;A;ZVER;10029975;JAVICHO SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;46;46;ZPB;06/09/2021;10030016;JAVICHO SA (Isca Yacu);Fc Ant 0529A00004033;03/09/2021
A131;10;70451908;Open;A;ZVEF;1601700;JUAMARITA SOCIEDAD ANONIMA;00097072869;NEXT 25.8PWU C18 COR CT CMQL BG80UK AR;C074;350;350;ZPB;;10014053;MORETO DEPOSITO TERCEROS;0000003347C Z11;
A131;20;70451908;Open;A;ZVEF;1601700;JUAMARITA SOCIEDAD ANONIMA;00097072863;NEXT 25.8PWU R18 COR CT CMQL BG80UK AR;C074;430;430;ZPB;;10014053;MORETO DEPOSITO TERCEROS;0000003347C Z11;
